path,Fld Applictn,Abstract,File,Title,Start Date,Expected Total Amt.,Prgm Manager,Expires,Investigator,NSF Org,Sponsor,Type,Program Ref,Award Instr.,Award Number,NSF Program,Latest Amendment Date
dbfs:/data-mining/nsf-abstract/original/awd_1992_03/a9203981.txt,0000099 Other Applications NEC  21 Mathematics,"This research is concerned with a study of algorithmic  problems in the theories of groups, semigroups, inverse  semigroups and associative algebras. Related problems about  automata, varieties and pseudo-varieties will also be considered.  Algorithmic problems to be considered include the word problem  for non-periodic semigroup varieties, for finitely based  varieties of associative algebras, for presentations and  varieties of inverse semigroups. Other problems to be considered  include the algorithmic classification of finitely generated  subgroups of free groups via finite inverse monoids, the Rhodes  problem for the class of finite groups and the extension problem  for finite inverse automata to various pseudo-varieties of  groups.  This research is in the area of semigroups. A semigroup is  one of the simplest of the abstract mathematical structures,  consisting of a set with one associative operation on it. The  structure of these very general objects will be investigated.  Applications will be given to various areas of mathematics and  computer science.",a9203981,Mathematical Sciences: Algorithmic and Computational Methodsin Algebra,"June 15, 1992",$218500 (Estimated),Ann K. Boyle  DMS DIVISION OF MATHEMATICAL SCIENCES  MPS DIRECT FOR MATHEMATICAL & PHYSICAL SCIEN,"November 30, 1996 (Estimated)",John C. Meakin jmeakin@math.unl.edu (Principal Investigator current) Mark V. Sapir (Co-Principal Investigator current) Stuart W. Margolis (Co-Principal Investigator current) Jean-Camille Birget (Co-Principal Investigator current),DMS,"U of Nebraska-Lincoln 14th & R Streets Lincoln, NE 685880430 402/472-7211",Award,"0000,9263,OTHR,",Continuing grant,9203981,"1264 ALGEBRA,NUMBER THEORY,AND COM","March 30, 1994"
dbfs:/data-mining/nsf-abstract/original/awd_1992_00/a9200402.txt,0000099 Other Applications NEC  61 Life Science Biological,"This award provides funds to the Department of Psychobiology at the  University of California, Irvine to continue to sponsor a  successful undergraduate research experience in Neural Plasticity  and Brain Function. The program originated with a one-week  undergraduate Summer Institute that was expanded with NSF funding.  The eight-week summer program begins with a one-week  lecture/seminar series designed to introduce the students to the  field and to the research of the various faculty. This is followed  by an active research experience in faculty laboratories on a  defined project tailored to the goals of the student and their  advisors. Throughout this period, students continue to interact  with faculty in both formal and informal meetings. At the end of  the program, students present their findings to other students in  the Department and to the faculty.",a9200402,Experiences in Neurobiology for Undergraduates,"April 15, 1992",$40000 (Estimated),BIO DIRECT FOR BIOLOGICAL SCIENCES  BIO DIRECT FOR BIOLOGICAL SCIENCES,"March 31, 1993 (Estimated)",Carl W. Cotman cwcotman@teri.bio.uci.edu (Principal Investigator current) Michael A. Leon (Co-Principal Investigator current),BIO,"U of Cal Irvine 160 Administration Building Irvine, CA 926971875 949/824-7106",Award,"9250,",Standard Grant,9200402,9145 SPECIAL PROGRAMS-RESERVE,"April 17, 1992"
dbfs:/data-mining/nsf-abstract/original/awd_1992_00/a9200892.txt,0512204 Nondestructive Measurement  54 Engineering-Civil,"This project builds on an established state-of-the-art in  electromagnetic geotomography used for imaging buried geo-  structures in mining, exploration, geotechnology, security, and  environmental waste management applications. The study focuses on   specific multidimensional signal-processing issues in the  reconstruction of images from through-rock electromagnetic  transmission measurements, and covers image fidelity  quantification, tomography algorithms for combined attenuation-  phase-frequency measurement data, and space sampling strategies  in  site surveying and in image construction.",a9200892,Multidimensional Signal-Processing for Enhanced Electro- magnetic Geotomography,"July 1, 1992",$78279 (Estimated),MEHMET T. TUMAY  CMS DIV OF CIVIL AND MECHANICAL SYSTEMS  ENG DIRECTORATE FOR ENGINEERING,"June 30, 1995 (Estimated)",Nigel T. Middleton nmiddlet@mines.edu (Principal Investigator current) Larry G. Stolarczyk (Co-Project Director current),CMS,"Colorado School of Mines 1500 Illinois Golden, CO 804011887 303/273-3200",Award,"",Continuing grant,9200892,1634 GEOMECHANICS & GEOTECHNIC SYST,"April 16, 1993"
dbfs:/data-mining/nsf-abstract/original/awd_1992_01/a9201189.txt,0204000 Oceanography  44 Physical & Chemical Oceanography,"This research involves the application of novel \"in -source\" mass  spectrometric (MS) techniques for the molecular-level  characterization of (sub)-microgram quantities of particulate  organic matter (POM). The overall objective is to relate changes  in POM composition to water column-based biogeochemical processes  and to assess the importance of these processes in determining the  chemical characteristics of sedimentary organic matter. Observed  variations in POM composition will be interpreted in the context of  current concepts for organic matter preservation. This objective  will be pursued by investigating the composition of organic matter  in samples of phytoplankton populations, particulate matter and  surface sediments from high productivity (Peru Upwelling region)  and oligotrophic (Sargasso Sea) Oceanic environments.   The analytical approach adopted seeks to overcome several  limitations which currently prevent the application of molecular  markers as routine tools in marine geochemistry. Specifically, in-  source MS offers advantages as a rapid, high sensitivity method  which can be used to study compositional features of complex  mixtures over a wide range of molecular sizes and polarities. The  major focus is placed upon structural aspects of macromolecular  constituents of POM, however, an assessment of lipid composition  will also be made in an attempt to provide a more holistic  perspective of POM transformation. The inherent sensitivity of in-  source MS will be exploited by studying compositional variations in  sub-factions of POM separated by flow cytometry. In this way,  chemical variations can be related to well-defined particle  characteristics (size, shape, chlorophyll content), enabling  systematic relationships to be established between the composition  of phytoplankton and POM.",a9201189,Direct Mass Spectrometric Profiling of Water Column Particulate Organic Matter Composition,"May 1, 1992",$247075 (Estimated),Neil R. Andersen  OCE DIVISION OF OCEAN SCIENCES  GEO DIRECTORATE FOR GEOSCIENCES,"October 31, 1994 (Estimated)",Timothy I. Eglinton teglinton@whoi.edu (Principal Investigator current),OCE,Woods Hole Ocean Inst,Award,"",Continuing grant,9201189,1670 CHEMICAL OCEANOGRAPHY,"April 1, 1993"
dbfs:/data-mining/nsf-abstract/original/awd_1992_00/a9200118.txt,0000099 Other Applications NEC  31 Computer Science & Engineering,"This project will bring six undergraduates students to  the Hope College Campus for a ten week period in the summer  of 1992. In this time, the students will be provided with a  research experience, and given the encouragement to pursue a  career in computer science research. Half the participants  will be from Hope College, and half from other institutions.  A strong emphasis will be placed on the recruitment of women  and minorities. Areas for research include parallel  algorithms, neural networks, data communication, concurrent  processing, voice recognition, fractal growth and graphics  algorithms.",a9200118,Continuing REU Site: An Undergraduate Research Participation Program in Computer Science,"April 1, 1992",$86550 (Estimated),John Cherniavsky  EIA DIVISION OF EXPERIMENTAL & INTEG ACTIVIT CSE DIRECT FOR COMPUTER & INFO SCIE & ENGINR,"September 30, 1995 (Estimated)",Herbert L. Dershem dershem@cs.hope.edu. (Principal Investigator current),EIA,"Hope College 41 Graves Place Holland, MI 494239000 616/392-5111",Award,"9178,9250,SMET,",Continuing grant,9200118,2885 CISE RESEARCH INFRASTRUCTURE,"December 9, 1993"
dbfs:/data-mining/nsf-abstract/original/awd_1992_04/a9204291.txt,0000099 Other Applications NEC  21 Mathematics,"Ravenel will investigate several questions in stable homotopy  theory raised by his counter-example to the telescope conjecture.  He also has a program to compute the complex cobordism of  Eilenberg-MacLane spaces and some ideas about computing the  cohomology of the Lambda algebra. Neisendorfer plans to pursue the  discovery of the fact that, up to completion, finite complexes may  be recovered from their connected covers. He also intends to  investigate the preservation and lack of preservation of  homological finiteness in covering spaces.  This project is concerned with tools for reducing geometric  information to a subject for calculation. The nature of the  geometric information involved is the crux of the problem. While  questions about lengths, areas, angles, volumes, and so forth  virtually cry out to be reduced to calculations, it is far  different with what are known as topological properties of  geometric objects. These are properties such as connectedness  (being all in one piece), knottedness, having no holes, and so  forth. All systematic study of such properties, for example, how  to tell whether two geometric objects really differ in respect to  one of these properties or are only superficially different, or how  to classify the variety of differences that can occur, all these  have only truly been comprehended and mastered when they have been  reduced to matters of calculation. Modern algebra furnishes many  of the tools and the attitudes toward the tools that are needed,  and the interplay between the algebra and the topology remains a  fascinating subject.",a9204291,Mathematical Sciences: Homotopy Theory and its Applications,"August 1, 1992",$250000 (Estimated),Ralph M. Krause  DMS DIVISION OF MATHEMATICAL SCIENCES  MPS DIRECT FOR MATHEMATICAL & PHYSICAL SCIEN,"January 31, 1996 (Estimated)",Douglas C. Ravenel drav@math.rochester.edu (Principal Investigator current) Joseph Neisendorfer (Co-Principal Investigator current),DMS,University of Rochester,Award,"0000,OTHR,",Continuing grant,9204291,1267 TOPOLOGY,"April 18, 1994"
dbfs:/data-mining/nsf-abstract/original/awd_1992_07/a9207289.txt,0201000 Agriculture  61 Life Science Biological,"The Sixth Meeting of the International Society of Molecular Plant-  Microbe Interactions (IS-MPMI) will be held in Seattle, Washington,  11-17 July, 1992. This society has member scientists from 25  countries who are studying interactions between bacteria, and fungi  with their host plants, using molecular techniques. These  interactions include both the microorganism and the response of the  host. Members of the society are also interested in the  consequences and applications of these interactions to  biotechnology. This meeting represents the major forum for the  exchange of information and ideas between scientists whose research  is providing a rapidly expanding body of knowledge in an  increasingly important area of research in plant science.",a9207289,"6th International Symposium on Molecular-Plant-Microbe Interactions, Seattle, Washington, July 11-17, 1992","June 15, 1992",$7500 (Estimated),Machi F. Dilworth  IBN DIV OF INTEGRATIVE BIOLOGY AND NEUROSCIE BIO DIRECT FOR BIOLOGICAL SCIENCES,"November 30, 1993 (Estimated)",Eugene W. Nester gnester@u.washington.edu (Principal Investigator current),IBN,"U of Washington 3935 University Way NE Seattle, WA 981056613 206/543-4043",Award,"",Standard Grant,9207289,1145 INTEGRATIVE PLANT BIOLOGY,"June 10, 1992"
dbfs:/data-mining/nsf-abstract/original/awd_1992_00/a9200168.txt,0000099 Other Applications NEC  12 Chemistry,"The Research Experience for Undergraduates (REU) Site project  is in the area of Materials Chemistry. For a three-year period  beginning in 1992, ten undergraduate students will spend ten  weeks each summer engaged in research activities, ranging from  synthesis of new materials to characterization of their  physical and chemical properties. The goal of this program and  its unique feature - its concentration on highly-qualified  women - will ultimately introduce into graduate programs women  who have been directly involved in the creative fusion of  Chemistry and Materials Science.",a9200168,Research Experiences for Undergraduates in Chemistry at the University of Arizona,"April 1, 1992",$120000 (Estimated),Karolyn K. Eisenstein  CHE DIVISION OF CHEMISTRY  MPS DIRECT FOR MATHEMATICAL & PHYSICAL SCIEN,"September 30, 1995 (Estimated)",Jeanne E. Pemberton pembertn@u.arizona.edu (Principal Investigator current),CHE,"U of Arizona 601 Administration Building Tucson, AZ 85721 602/621-2211",Award,"9161,9178,9250,SMET,",Continuing grant,9200168,1986 UNDERGRADUATE PROGRAMS IN CHEM,"January 4, 1994"
dbfs:/data-mining/nsf-abstract/original/awd_1992_04/a9204911.txt,0000099 Other Applications NEC  42 Geological Sciences,"The principal investigator will study skarns and the related  metamorphic rocks in deposits of both the United States and the  former Soviet Union. The study is designed to determine the role  of three alternative models of metasomatism, and to better  understand the development of ore deposits.",a9204911,Infiltration Metasomatism in Skarn Deposits and Related Metasomatic Rocks: A Joint United States/Soviet Study,"July 1, 1992",$15911 (Estimated),Maryellen Cameron  EAR DIVISION OF EARTH SCIENCES  GEO DIRECTORATE FOR GEOSCIENCES,"June 30, 1994 (Estimated)",George W. Fisher (Principal Investigator current),EAR,"Johns Hopkins University 3400 North Charles Street Baltimore, MD 212182695 301/338-8000",Award,"",Standard Grant,9204911,1573 PETROLOGY AND GEOCHEMISTRY,"May 20, 1992"
dbfs:/data-mining/nsf-abstract/original/awd_1992_01/a9201907.txt,0204000 Oceanography  44 Physical & Chemical Oceanography,"Work is in progress on the cycling of trace metals between sediment  and water in the continental margin of California. Fluxes of  nutrients and trace metals are being determined by using the USC  free vehicle bottom lander and by calculation of gradients in pore  waters of sediments on a millimeter scale. A surprising result of  the initial work is that the highest rate of remineralization of  metals from the sediment appears to be from well oxygenated waters,  not from sediments in the depth range of the oxygen minimum zone.  Moreover the high fluxes are linked with high rates of oxygen  consumption, carbon oxidation, and calcium carbonate dissolution.  Consequently, new work is addressing the association between metal  and carbon cycling. Measurements of fluxes out of the sediments in  Monterey Bay are being compared to ongoing measurements of sediment  trap carbon fluxes (by Chavez) to determine whether seasonality in  the carbon signal is reflected by remineralization rates of metals.  A detailed study is also being made of fluxes derived from  modelling pore water profiles, compared to those from the benthic  chambers, which tend to give higher flux values. The discrepancy  suggests rapid diagenetic reactions in the fluff layer at the  sediment surface, or irrigation by infauna; the possibilities are  being investigated.",a9201907,Chemical Cycling at the Ocean Margin: The Sedimentary Source,"October 1, 1992",$352912 (Estimated),Rodger W. Baier  OCE DIVISION OF OCEAN SCIENCES  GEO DIRECTORATE FOR GEOSCIENCES,"September 30, 1996 (Estimated)",William M. Berelson berelson@earth.usc.edu (Principal Investigator current),OCE,"U of Southern California University Park Los Angeles, CA 900891147 213/740-2934",Award,"0000,1670,OTHR,",Continuing grant,9201907,1670 CHEMICAL OCEANOGRAPHY,"October 19, 1994"
